,1 Second,1 Minute,1 Hour,1 Day
$ \lg(n) $,$ 2^{1m} $,$ 60 \times 2^ {1m} $,$ 360 \times 2^ {1m} $,$ 86400 \times 2^ {1m} $
$ \sqrt(n) $,1.00E+12,6.00E+13,3.60E+15,8.64E+16
$ n $,1000000,60000000,3600000000,86400000000
$ n \lg(n) $,62746,3764760,225885600,5421254400
$ n^2 $,1000,60000,3600000,86400000
$ n^3 $,100,6000,360000,8640000
$ 2^n $,19,1140,68400,1641600
$ n! $,9,540,32400,777600
